ID,Tanggal,Grup,Kategori,Nama Produk,Harga (Rp),Terjual,Kota
1,2024-01-02,BTS,Album,Proof (Standard),350000,120,Jakarta
2,2024-01-03,Blackpink,Light Stick,Light Stick Ver.2,850000,45,Surabaya
3,2024-01-05,NCT,Photocard,Universe Photocard Set,75000,300,Bandung
4,2024-01-06,Zerobaseone,Album,Youth in the Shade,380000,90,Jakarta
5,2024-01-08,Treasure,Light Stick,Treasure World Light Stick,820000,35,Surabaya
6,2024-01-10,Seventeen,Clothing,Carat Sweatshirt,420000,55,Yogyakarta
7,2024-01-11,Babymonster,Photocard,Batter Up Photocard Set,60000,250,Jakarta
8,2024-01-13,EXO,Album,Exist (Photobook ver.),360000,80,Bandung
9,2024-01-14,Twice,Accessories,Candy Bong Keyring,110000,180,Medan
10,2024-01-16,Stray Kids,Album,5-Star (Limited),380000,110,Makassar
11,2024-01-17,Aespa,Light Stick,MY Light Stick,780000,40,Bali
12,2024-01-19,Alpha Drive One,Album,First Drive,340000,70,Semarang
13,2024-01-20,TWS,Photocard,Sparkling Blue Photocard,55000,320,Jakarta
14,2024-01-22,Cortis,Clothing,Cortis Logo Hoodie,390000,45,Surabaya
15,2024-01-23,Izna,Album,Izna Debut Album,370000,85,Bandung
16,2024-01-25,BTS,Photocard,Butter Photocard Pack,50000,500,Jakarta
17,2024-01-26,Blackpink,Clothing,The Girls T-Shirt,280000,75,Bandung
18,2024-01-27,NCT,Album,Golden Age (SMini ver.),200000,210,Semarang
19,2024-01-29,Zerobaseone,Light Stick,ZB1 Light Stick,790000,30,Yogyakarta
20,2024-01-30,Treasure,Photocard,Reboot Photocard Set,70000,220,Jakarta
21,2024-02-01,Seventeen,Album,Face the Sun (CARAT ver.),320000,95,Medan
22,2024-02-02,Babymonster,Light Stick,Baby Monster Light Stick,810000,25,Makassar
23,2024-02-04,EXO,Photocard,Exist Photocard Set,80000,150,Surabaya
24,2024-02-05,Twice,Album,Ready to Be (Digipack),290000,130,Bali
25,2024-02-07,Stray Kids,Accessories,SKZOO Keyring,125000,200,Jakarta
26,2024-02-08,Aespa,Clothing,Savage Hoodie,410000,50,Bandung
27,2024-02-09,Alpha Drive One,Light Stick,Drive Light Stick,750000,20,Semarang
28,2024-02-11,TWS,Album,Sparkling Blue (Weverse ver.),330000,105,Surabaya
29,2024-02-12,Cortis,Photocard,First Step Photocard,65000,270,Jakarta
30,2024-02-14,Izna,Light Stick,Izna Light Stick,800000,28,Yogyakarta
31,2024-02-15,BTS,Accessories,TinyTAN Keyring,120000,200,Medan
32,2024-02-16,Blackpink,Album,Born Pink (KIT ver.),400000,95,Jakarta
33,2024-02-18,NCT,Clothing,NCT 2023 Tour T-Shirt,250000,160,Bandung
34,2024-02-19,Zerobaseone,Photocard,In Bloom Photocard Set,60000,290,Makassar
35,2024-02-20,Treasure,Album,Reboot (POCA ver.),210000,180,Surabaya
36,2024-02-21,Seventeen,Light Stick,CARAT Light Stick Ver.3,880000,42,Jakarta
37,2024-02-22,Babymonster,Clothing,Batter Up Cap,180000,110,Semarang
38,2024-02-23,EXO,Accessories,EXO Logo Scarf,135000,140,Bali
39,2024-02-24,Twice,Photocard,Ready to Be Photocard Pack,55000,400,Jakarta
40,2024-02-25,Stray Kids,Light Stick,SKZ Light Stick Ver.2,870000,38,Bandung
41,2024-02-26,Aespa,Album,My World (SMini ver.),190000,220,Yogyakarta
42,2024-02-27,Alpha Drive One,Photocard,Driver's License Photocard,58000,310,Medan
43,2024-02-28,TWS,Clothing,TWS Boyfriend Tee,270000,90,Jakarta
44,2024-02-29,Cortis,Album,Cortis 1st Mini Album,350000,65,Surabaya
45,2024-03-02,Izna,Photocard,Debut Photocard Set,62000,260,Makassar
46,2024-03-03,BTS,Light Stick,Army Bomb SE,900000,40,Jakarta
47,2024-03-05,Blackpink,Accessories,Blackpink Lanyard,95000,210,Bandung
48,2024-03-06,NCT,Light Stick,NCT Light Stick,830000,48,Semarang
49,2024-03-07,Zerobaseone,Clothing,ZB1 Debut Jacket,430000,55,Bali
50,2024-03-08,Treasure,Clothing,Treasure Logo T-Shirt,260000,130,Yogyakarta
